Lake,Timepoint,Time,Depth,DO,Temperature,Light,pH,Conductivity,Chlorophyll,Phycocyanin,Production
Mendota,32,13,5,9.57,24.49,,8.71,607,5.3,0.86,36.94214876
Mendota,32,13,6,9.57,24.49,,8.71,607,5.3,0.86,36.94214876
Mendota,32,13,7,9.52,24.48,,8.71,607,5.3,0.86,36.94214876
Mendota,32,13,8,9.49,24.47,,8.71,608,5.3,0.86,36.94214876
Mendota,32,13,9,9.01,24.33,,8.67,610,5.3,0.86,36.94214876
Mendota,32,13,10,0.29,15.46,,7.66,653,5.3,0.86,36.94214876
Mendota,36,17,0,9.84,24.56,437.3,8.64,607,6.09,0.68,132.0491803
Mendota,36,17,1,9.85,24.55,236.2,8.65,607,6.09,0.68,132.0491803
Mendota,36,17,2,9.84,24.53,107.74,8.65,607,6.09,0.68,132.0491803
Mendota,36,17,3,9.78,24.51,64.52,8.65,607,6.09,0.68,132.0491803
Mendota,36,17,4,9.72,24.5,36.66,8.65,607,6.09,0.68,132.0491803
Mendota,36,17,5,9.66,24.48,20.58,8.64,607,6.09,0.68,132.0491803
Mendota,36,17,6,9.68,24.45,11.18,8.65,607,6.09,0.68,132.0491803
Mendota,36,17,7,2.18,18.74,,7.9,647,6.09,0.68,132.0491803
Mendota,36,17,8,0.23,13.44,,7.4,658,6.09,0.68,132.0491803
Mendota,36,17,9,0.2,12.81,,7.58,659,6.09,0.68,132.0491803
Mendota,36,17,10,0.18,12.74,,7.6,659,6.09,0.68,132.0491803
Mendota,40,21,0,9.8,24.44,1.58,8.66,606,,,10.5
Mendota,40,21,1,9.82,24.45,0.68,8.67,606,,,10.5
Mendota,40,21,2,9.81,24.46,0.29,8.68,606,,,10.5
Mendota,40,21,3,9.82,24.46,,8.7,606,,,10.5
Mendota,40,21,4,9.82,24.45,,8.69,607,,,10.5
Mendota,40,21,5,9.81,24.46,,8.69,606,,,10.5
Mendota,40,21,6,9.64,24.41,,8.73,606,,,10.5
Mendota,40,21,7,5.55,21.87,,8.33,633,,,10.5
Mendota,40,21,8,5,21.51,,8.25,635,,,10.5
Mendota,40,21,9,2.73,19.13,,7.98,648,,,10.5
Mendota,40,21,10,0.4,15.22,,7.71,656,,,10.5
Mendota,44,1,0,9.61,24.3,,8.7,606,,,20.5
Mendota,44,1,1,9.67,24.36,,8.71,606,,,20.5
Mendota,44,1,2,9.69,24.34,,8.71,606,,,20.5
Mendota,44,1,3,9.67,24.35,,8.71,606,,,20.5
Mendota,44,1,4,9.69,24.34,,8.72,606,,,20.5
Mendota,44,1,5,9.68,24.34,,8.72,606,,,20.5
Mendota,44,1,6,9.69,24.34,,8.72,606,,,20.5
Mendota,44,1,7,6.63,22.76,,8.46,626,,,20.5
Mendota,44,1,8,6.01,22.29,,8.38,631,,,20.5
Mendota,44,1,9,3.06,20.02,,8.05,641,,,20.5
Mendota,44,1,10,0.35,15.58,,7.69,656,,,20.5
Sparkling,0,5,0,9.07,23.57,34.13,7.51,131.5,1.69,0.04,1
Sparkling,0,5,1,9.08,23.61,19.79,7.44,131.4,1.69,0.04,1
Sparkling,0,5,2,9.09,23.59,14.04,7.46,131.7,1.69,0.04,1
Sparkling,0,5,3,9.23,23.12,10.21,7.49,131.8,1.69,0.04,1
Sparkling,0,5,4,10.32,20.71,7.15,7.5,130.6,1.69,0.04,1
Sparkling,0,5,5,11.99,16.3,4.96,7.48,130.5,1.69,0.04,1
Sparkling,0,5,6,13.22,10.61,3.45,7.46,128.4,1.69,0.04,1
Sparkling,0,5,7,13.78,10.04,2.46,7.37,127.6,1.69,0.04,1
Sparkling,0,5,8,12.76,7.02,,7.07,127.8,1.69,0.04,1
Sparkling,0,5,9,12.29,6.66,,7.03,127.9,1.69,0.04,1
Sparkling,0,5,10,12.25,6.5,,6.98,127.5,1.69,0.04,1
Sparkling,4,9,0,9.04,23.58,118,7.49,131.4,1.64,0.09,-4.25
Sparkling,4,9,1,9.12,23.57,73.4,7.45,131.5,1.64,0.09,-4.25
Sparkling,4,9,2,9.13,23.36,184,7.46,131.2,1.64,0.09,-4.25
Sparkling,4,9,3,9.35,22.71,184.31,7.52,130.9,1.64,0.09,-4.25
Sparkling,4,9,4,9.6,21.68,131.6,7.49,130.2,1.64,0.09,-4.25
Sparkling,4,9,5,12.25,16.33,84.32,7.49,130.2,1.64,0.09,-4.25
Sparkling,4,9,6,12.99,14.39,50.85,7.48,129.2,1.64,0.09,-4.25
Sparkling,4,9,7,13.39,10.46,40.06,7.42,128.3,1.64,0.09,-4.25
Sparkling,4,9,8,13.52,9.8,,7.37,127,1.64,0.09,-4.25
Sparkling,4,9,9,13.38,8.39,,7.21,127.2,1.64,0.09,-4.25
Sparkling,4,9,10,12.97,7.25,,7.11,127.8,1.64,0.09,-4.25
Sparkling,8,13,0,9.1,24.25,1030,7.64,131.8,1.63,0.04,6
Sparkling,8,13,1,9.14,24.14,199,7.49,131.7,1.63,0.04,6
Sparkling,8,13,2,9.17,23.95,150,7.48,131.4,1.63,0.04,6
Sparkling,8,13,3,9.19,23.69,340,7.48,131.6,1.63,0.04,6
Sparkling,8,13,4,9.29,23.18,270,7.45,132,1.63,0.04,6
Sparkling,8,13,5,9.68,21.95,160,7.5,130.8,1.63,0.04,6
Sparkling,8,13,6,11.26,16.8,105,7.44,130.1,1.63,0.04,6
Sparkling,8,13,7,13.11,12.45,120,7.24,128.9,1.63,0.04,6
Sparkling,8,13,8,13.61,8.41,,7.03,127.4,1.63,0.04,6
Sparkling,8,13,9,12.92,7.35,,6.83,127.8,1.63,0.04,6
Sparkling,8,13,10,12.8,7.04,,7.1,127.9,1.63,0.04,6
Sparkling,12,17,0,9.19,24.8,95,7.53,132,1.53,0.08,-1.224489796
Sparkling,12,17,1,9.21,24.65,75,7.51,132.3,1.53,0.08,-1.224489796
Sparkling,12,17,2,9.35,23.75,300,7.53,131.7,1.53,0.08,-1.224489796
Sparkling,12,17,3,9.59,22.61,220,7.55,130.6,1.53,0.08,-1.224489796
Sparkling,12,17,4,9.67,21.95,160,7.54,130.4,1.53,0.08,-1.224489796
Sparkling,12,17,5,12.24,16.34,120,7.51,130.2,1.53,0.08,-1.224489796
Sparkling,12,17,6,13.13,12.74,76,7.5,129.4,1.53,0.08,-1.224489796
Sparkling,12,17,7,13.53,11.04,53,7.49,128.4,1.53,0.08,-1.224489796
Sparkling,12,17,8,13.61,9.37,,7.41,127.4,1.53,0.08,-1.224489796
Sparkling,12,17,9,13.19,7.65,,7.17,127.6,1.53,0.08,-1.224489796
Sparkling,12,17,10,12.7,6.83,,7.09,127.5,1.53,0.08,-1.224489796
Sparkling,16,21,0,9.23,24.81,15.8,7.59,132.6,1.97,0.19,6
Sparkling,16,21,1,9.21,24.69,7.4,7.53,131.9,1.97,0.19,6
Sparkling,16,21,2,9.23,24.24,5.4,7.53,132.1,1.97,0.19,6
Sparkling,16,21,3,9.38,23.32,3.6,7.55,131.2,1.97,0.19,6
Sparkling,16,21,4,9.68,21.91,2.6,7.53,131,1.97,0.19,6
Sparkling,16,21,5,11.1,19.38,1.7,7.51,130,1.97,0.19,6
Sparkling,16,21,6,12.87,12.94,1.6,7.52,129.9,1.97,0.19,6
Sparkling,16,21,7,13.39,10.81,1.2,7.48,128.3,1.97,0.19,6
Sparkling,16,21,8,13.57,8.97,,7.34,128,1.97,0.19,6
Sparkling,16,21,9,13.36,8.1,,7.25,127.7,1.97,0.19,6
Sparkling,16,21,10,12.83,7.19,,7.1,127.6,1.97,0.19,6
Sparkling,20,1,0,9.09,24.27,,7.45,132.3,1.42,0.09,5.569620253
Sparkling,20,1,1,9.12,24.28,,7.5,131.6,1.42,0.09,5.569620253
Sparkling,20,1,2,9.13,24.28,,7.5,131.7,1.42,0.09,5.569620253
Sparkling,20,1,3,9.34,23.58,,7.54,1313.4,1.42,0.09,5.569620253
Sparkling,20,1,4,9.46,22.71,,7.55,131.3,1.42,0.09,5.569620253
Sparkling,20,1,5,12.19,17.04,,7.52,130.9,1.42,0.09,5.569620253
Sparkling,20,1,6,13.08,12.75,,7.55,128.7,1.42,0.09,5.569620253
Sparkling,20,1,7,13.42,10.86,,7.48,127.8,1.42,0.09,5.569620253
Sparkling,20,1,8,13.43,8.12,,7.22,127.2,1.42,0.09,5.569620253
Sparkling,20,1,9,12.32,6.82,,7.02,100.8,1.42,0.09,5.569620253
Sparkling,20,1,10,11.74,6.5,,6.85,128.1,1.42,0.09,5.569620253
Sparkling,24,5,0,9.01,22.45,1.1,7.55,131.7,1.69,0.02,-1.25
Sparkling,24,5,1,9.09,23.99,0.4,7.49,131.7,1.69,0.02,-1.25
Sparkling,24,5,2,9.1,23.99,0.5,7.47,132,1.69,0.02,-1.25
Sparkling,24,5,3,9.24,23.57,0.3,7.5,131.2,1.69,0.02,-1.25
Sparkling,24,5,4,9.34,23.09,0.2,7.52,131.1,1.69,0.02,-1.25
Sparkling,24,5,5,9.53,22.01,0.1,7.53,130.8,1.69,0.02,-1.25
Sparkling,24,5,6,11.9,16.27,0,7.53,130.8,1.69,0.02,-1.25
Sparkling,24,5,7,13.12,12.42,,7.56,128.7,1.69,0.02,-1.25
Sparkling,24,5,8,13.49,10.48,,7.46,127.6,1.69,0.02,-1.25
Sparkling,24,5,9,14.01,9.11,,7.3,127.9,1.69,0.02,-1.25
Sparkling,24,5,10,13.64,7.41,,7.15,127.1,1.69,0.02,-1.25
Sparkling,28,9,0,9.23,23.09,109.32,7.56,132.8,1.73,0.13,1.983471074
Sparkling,28,9,1,9.02,23.81,601,7.47,131.6,1.73,0.13,1.983471074
Sparkling,28,9,2,9.03,23.72,459,7.51,131.9,1.73,0.13,1.983471074
Sparkling,28,9,3,9.09,23.48,362,7.54,131,1.73,0.13,1.983471074
Sparkling,28,9,4,9.86,20.48,268,7.54,130.9,1.73,0.13,1.983471074
Sparkling,28,9,5,10.92,19.28,196.3,7.5,130.7,1.73,0.13,1.983471074
Sparkling,28,9,6,12.14,16.7,137,7.56,129.8,1.73,0.13,1.983471074
Sparkling,28,9,7,13.06,11.42,99.8,7.59,128.2,1.73,0.13,1.983471074
Sparkling,28,9,8,14.12,10.17,,7.39,127.5,1.73,0.13,1.983471074
Sparkling,28,9,9,12.62,7.24,,7.08,127.8,1.73,0.13,1.983471074
Sparkling,28,9,10,12.61,7.12,,6.96,127.4,1.73,0.13,1.983471074
Sparkling,32,13,0,8.99,23.64,1820,7.56,131.7,1.98,0.08,21.32231405
Sparkling,32,13,1,9.05,23.64,820,7.52,132,1.98,0.08,21.32231405
Sparkling,32,13,2,9.04,23.67,680,7.53,131.4,1.98,0.08,21.32231405
Sparkling,32,13,3,9.04,23.61,510,7.52,131.5,1.98,0.08,21.32231405
Sparkling,32,13,4,9.52,22.02,372,7.56,136.2,1.98,0.08,21.32231405
Sparkling,32,13,5,11.92,17.77,257,7.56,131.5,1.98,0.08,21.32231405
Sparkling,32,13,6,12.75,13.74,168,7.58,129.3,1.98,0.08,21.32231405
Sparkling,32,13,7,13.21,11.42,117,7.54,128.4,1.98,0.08,21.32231405
Sparkling,32,13,8,13.47,9.08,,7.42,127.6,1.98,0.08,21.32231405
Sparkling,32,13,9,13.01,7.78,,7.23,126.9,1.98,0.08,21.32231405
Sparkling,32,13,10,,,,,,1.98,0.08,21.32231405
Sparkling,36,17,0,9.08,23.5,310,7.52,131.8,2.38,0.06,13.25
Sparkling,36,17,1,9.11,23.53,148,7.54,131.8,2.38,0.06,13.25
Sparkling,36,17,2,9.1,23.53,118,7.55,131.2,2.38,0.06,13.25
Sparkling,36,17,3,9.26,23.29,99,7.56,131.6,2.38,0.06,13.25
Sparkling,36,17,4,9.44,22.02,72,7.58,1310.6,2.38,0.06,13.25
Sparkling,36,17,5,11.73,17.82,54,7.54,130.5,2.38,0.06,13.25
Sparkling,36,17,6,12.86,13.3,39,7.58,128.5,2.38,0.06,13.25
Sparkling,36,17,7,10.79,10.79,29,7.51,128.3,2.38,0.06,13.25
